Configuration,Cost
PPA config1,2000.0
PPA config1,1984.0
PPA config1,1987.0
PPA config1,1984.0
PPA config1,1984.0
PPA config1,1987.0
PPA config1,2200.0
PPA config1,1997.5
PPA config1,1997.5
PPA config1,1998.5
PPA config1,2013.5
PPA config1,1984.0
PPA config1,1998.5
PPA config1,1984.0
PPA config1,2197.5
PPA config1,2205.5
PPA config1,1998.5
PPA config1,1984.0
PPA config1,1997.5
PPA config1,2197.5
PPA config1,1984.0
PPA config1,2197.5
PPA config1,2184.0
PPA config1,2000.0
PPA config1,1997.5
PPA config1,1984.0
PPA config1,2201.0
PPA config1,2203.5
PPA config1,1984.0
PPA config1,2204.5
PPA config2,1997.5
PPA config2,2006.0
PPA config2,2198.5
PPA config2,1998.5
PPA config2,1997.5
PPA config2,1997.5
PPA config2,2184.0
PPA config2,2027.5
PPA config2,2200.0
PPA config2,1984.0
PPA config2,2197.5
PPA config2,1997.5
PPA config2,2000.0
PPA config2,2000.0
PPA config2,2000.0
PPA config2,1987.0
PPA config2,2198.5
PPA config2,2007.5
PPA config2,1984.0
PPA config2,2222.5
PPA config2,1984.0
PPA config2,1984.0
PPA config2,2003.5
PPA config2,2039.5
PPA config2,2000.0
PPA config2,2004.5
PPA config2,1998.5
PPA config2,2197.5
PPA config2,2001.0
PPA config2,1998.5
PPA config3,1984.0
PPA config3,2184.0
PPA config3,2005.5
PPA config3,2184.0
PPA config3,2203.5
PPA config3,1984.0
PPA config3,2226.0
PPA config3,2006.0
PPA config3,2002.5
PPA config3,2201.0
PPA config3,2198.5
PPA config3,1984.0
PPA config3,2024.5
PPA config3,2012.5
PPA config3,2213.0
PPA config3,2201.0
PPA config3,1997.5
PPA config3,2204.5
PPA config3,2202.5
PPA config3,2001.0
PPA config3,2021.5
PPA config3,2000.0
PPA config3,1998.5
PPA config3,2204.5
PPA config3,2200.0
PPA config3,2202.5
PPA config3,2000.0
PPA config3,2206.0
PPA config3,2220.0
PPA config3,2171.0
PPA config4,2198.5
PPA config4,1984.0
PPA config4,1998.5
PPA config4,2000.0
PPA config4,2197.5
PPA config4,1998.5
PPA config4,1997.5
PPA config4,1984.0
PPA config4,2184.0
PPA config4,1998.5
PPA config4,2184.0
PPA config4,1987.0
PPA config4,1984.0
PPA config4,1998.5
PPA config4,2184.0
PPA config4,2283.5
PPA config4,1984.0
PPA config4,2184.0
PPA config4,2213.5
PPA config4,1987.0
PPA config4,2187.0
PPA config4,2187.0
PPA config4,1998.5
PPA config4,1984.0
PPA config4,2198.5
PPA config4,1997.5
PPA config4,2184.0
PPA config4,2203.5
PPA config4,2184.0
PPA config4,1998.5
PPA config5,2000.0
PPA config5,2184.0
PPA config5,2000.0
PPA config5,1997.5
PPA config5,1984.0
PPA config5,1984.0
PPA config5,1997.5
PPA config5,1998.5
PPA config5,2194.5
PPA config5,2226.0
PPA config5,1984.0
PPA config5,2184.0
PPA config5,2198.5
PPA config5,2172.5
PPA config5,2184.0
PPA config5,2000.0
PPA config5,1997.5
PPA config5,2200.0
PPA config5,2187.0
PPA config5,1997.5
PPA config5,1998.5
PPA config5,1997.5
PPA config5,2187.0
PPA config5,2000.0
PPA config5,1997.5
PPA config5,1997.5
PPA config5,1984.0
PPA config5,2197.5
PPA config5,1998.5
PPA config5,1984.0
PPA config6,1984.0
PPA config6,1984.0
PPA config6,2172.5
PPA config6,1984.0
PPA config6,2171.0
PPA config6,1997.5
PPA config6,2004.5
PPA config6,2224.5
PPA config6,1998.5
PPA config6,1997.5
PPA config6,2198.5
PPA config6,1984.0
PPA config6,1997.5
PPA config6,1987.0
PPA config6,1984.0
PPA config6,2203.5
PPA config6,1998.5
PPA config6,1984.0
PPA config6,2203.5
PPA config6,2002.5
PPA config6,2205.0
PPA config6,1984.0
PPA config6,1997.5
PPA config6,2000.0
PPA config6,1997.5
PPA config6,1984.0
PPA config6,1984.0
PPA config6,2198.5
PPA config6,2187.0
PPA config6,2184.0
PPA config7,2191.5
PPA config7,1984.0
PPA config7,1997.5
PPA config7,2198.5
PPA config7,1997.5
PPA config7,1984.0
PPA config7,1984.0
PPA config7,2187.0
PPA config7,2184.0
PPA config7,1987.0
PPA config7,1984.0
PPA config7,2184.0
PPA config7,1984.0
PPA config7,2184.0
PPA config7,1997.5
PPA config7,2009.0
PPA config7,1997.5
PPA config7,1984.0
PPA config7,2184.0
PPA config7,2372.5
PPA config7,1984.0
PPA config7,2200.0
PPA config7,1997.5
PPA config7,1987.0
PPA config7,2222.5
PPA config7,1984.0
PPA config7,2273.5
PPA config7,1997.5
PPA config7,2184.0
PPA config7,1984.0
PPA config8,1997.5
PPA config8,1998.5
PPA config8,2203.5
PPA config8,2002.5
PPA config8,1997.5
PPA config8,1984.0
PPA config8,1984.0
PPA config8,1998.5
PPA config8,1984.0
PPA config8,2184.0
PPA config8,1987.0
PPA config8,2187.0
PPA config8,2171.0
PPA config8,1984.0
PPA config8,2186.5
PPA config8,1998.5
PPA config8,1998.5
PPA config8,2204.5
PPA config8,1997.5
PPA config8,2204.5
PPA config8,1984.0
PPA config8,2004.5
PPA config8,1997.5
PPA config8,1997.5
PPA config8,2004.5
PPA config8,1998.5
PPA config8,1984.0
PPA config8,2187.0
PPA config8,1997.5
PPA config8,2000.0
PPA config9,1984.0
PPA config9,1987.0
PPA config9,2187.0
PPA config9,1987.0
PPA config9,2184.0
PPA config9,2184.0
PPA config9,1984.0
PPA config9,2187.0
PPA config9,1984.0
PPA config9,2228.0
PPA config9,1998.5
PPA config9,1984.0
PPA config9,2184.0
PPA config9,2184.0
PPA config9,1984.0
PPA config9,2184.0
PPA config9,1998.5
PPA config9,1984.0
PPA config9,2370.0
PPA config9,2184.0
PPA config9,1987.0
PPA config9,2184.0
PPA config9,1997.5
PPA config9,2184.0
PPA config9,2187.0
PPA config9,1984.0
PPA config9,1984.0
PPA config9,1997.5
PPA config9,1984.0
PPA config9,1997.5
PPA config10,1997.5
PPA config10,2004.5
PPA config10,2184.0
PPA config10,1984.0
PPA config10,1997.5
PPA config10,2187.0
PPA config10,1997.5
PPA config10,2200.0
PPA config10,1997.5
PPA config10,2007.0
PPA config10,2184.0
PPA config10,2313.0
PPA config10,1997.5
PPA config10,2188.0
PPA config10,1997.5
PPA config10,2002.5
PPA config10,1984.0
PPA config10,2172.0
PPA config10,2295.0
PPA config10,2204.5
PPA config10,2200.5
PPA config10,2295.0
PPA config10,1984.0
PPA config10,2203.5
PPA config10,2196.0
PPA config10,2000.0
PPA config10,1998.5
PPA config10,2200.0
PPA config10,2006.0
PPA config10,2004.5
PPA config11,1984.0
PPA config11,1997.5
PPA config11,2371.0
PPA config11,1987.0
PPA config11,1998.5
PPA config11,1997.5
PPA config11,1984.0
PPA config11,1984.0
PPA config11,1984.0
PPA config11,1984.0
PPA config11,1984.0
PPA config11,1987.0
PPA config11,2184.0
PPA config11,1997.5
PPA config11,2197.5
PPA config11,1984.0
PPA config11,2187.0
PPA config11,2184.0
PPA config11,1984.0
PPA config11,2184.0
PPA config11,1984.0
PPA config11,1984.0
PPA config11,1997.5
PPA config11,2197.5
PPA config11,2184.0
PPA config11,1987.0
PPA config11,2297.5
PPA config11,1987.0
PPA config11,2203.5
PPA config11,2200.0
PPA config12,1984.0
PPA config12,2000.0
PPA config12,2184.0
PPA config12,1984.0
PPA config12,2184.0
PPA config12,1984.0
PPA config12,2209.0
PPA config12,2005.5
PPA config12,1997.5
PPA config12,2184.0
PPA config12,1997.5
PPA config12,2197.5
PPA config12,1997.5
PPA config12,1984.0
PPA config12,1997.5
PPA config12,2184.0
PPA config12,2006.0
PPA config12,2184.0
PPA config12,2184.0
PPA config12,1997.5
PPA config12,1984.0
PPA config12,2287.5
PPA config12,1984.0
PPA config12,2197.5
PPA config12,1998.5
PPA config12,2184.0
PPA config12,2024.0
PPA config12,2000.0
PPA config12,2184.0
PPA config12,2000.0
